state_id,population,perc_to_total_population,males,females,sex_ratio,literacy_rate,rural_population,urban_population,area_sqkm,density_per_sqkm,growth_rate
1,12541302,1.04,6640662,5900640,889,67.16,9134820,3414106,222236,56,0.24
2,6864602,0.57,3481873,3382729,972,82.8,6167805,688704,55673,123,0.13
3,27743338,2.29,14639465,13103873,895,75.84,17316800,10387436,50362,550,0.14
4,1055450,0.09,580663,474787,818,86.05,29004,1025682,114,9252,0.17
5,10086292,0.83,5137773,4948519,963,79.63,7025583,3091169,53483,189,0.19
6,25351462,2.09,13494734,11856728,879,75.55,16531493,8821588,44212,573,0.2
7,16787941,1.39,8887326,7800615,868,86.21,944727,12905780,1484,11297,0.21
8,68548437,5.66,35550997,32997440,928,66.11,51540236,17080776,342239,201,0.21
9,199812341,16.5,104480510,95331831,912,67.68,155111022,44470455,240928,828,0.2
10,104099452,8.6,54278157,49821295,918,61.8,92075028,11729609,94163,1102,0.25
11,610577,0.05,323070,287507,890,81.42,455962,151726,7096,86,0.12
12,1383727,0.11,713912,669815,938,65.38,1069165,313446,83743,17,0.26
13,1978502,0.16,1024649,953853,931,79.55,1406861,573741,16579,119,-0.01
14,2721756,0.21,1290171,1280219,992,79.21,1899624,822132,22327,122,0.19
15,1097206,0.09,555339,541867,976,91.33,529037,561997,21081,52,0.23
16,3673917,0.3,1874376,1799541,960,87.22,2710051,960981,10486,350,0.15
17,2966889,0.25,1491832,1475057,989,74.43,2368971,595036,22429,132,0.28
18,31205576,2.58,15939443,15266133,958,72.19,26780526,4388756,78438,397,0.17
19,91276115,7.54,46809027,44467088,950,76.26,62213676,29134060,88752,1030,0.14
20,32988134,2.72,16930315,16057819,948,66.41,25036946,7929292,79714,414,0.22
21,41974218,3.47,21212136,20762082,979,72.87,34951234,6996124,155707,269,0.14
22,25545198,2.11,12832895,12712303,991,70.28,19603658,5936538,135191,189,0.23
23,72626809,6,37612306,35014503,931,69.32,52537899,20059666,308245,236,0.2
24,60439692,4.99,31491260,28948432,919,78.03,34670817,25712811,196024,308,0.19
25,243247,0.02,150301,92946,618,87.1,60331,182580,112,2169,0.54
26,343709,0.03,193760,149949,774,76.24,183024,159829,491,698,0.56
27,112374333,9.28,58243056,54131277,929,82.34,61545441,50827531,307713,365,0.16
28,84580777,6.99,42442146,42138631,993,67.02,56361702,28219075,275045,308,0.11
29,61095297,5.05,30966657,30128640,973,75.36,37552529,23578175,191791,319,0.16
30,1458545,0.12,739140,719405,973,88.7,551414,906309,3702,394,0.08
31,64473,0.01,33123,31350,946,91.85,14121,50308,32,2013,0.06
32,33406061,2.76,16027412,17378649,"1,084",94,17445506,15932171,38863,859,0.05
33,72147030,5.96,36137975,36009055,996,80.09,37189229,34949729,130058,555,0.16
34,1247953,0.1,612511,635442,"1,037",85.85,394341,850123,479,2598,0.28
35,380581,0.03,202871,177710,876,86.63,244411,135533,8249,46,0.07
36,35004000,0.03,17612000,17392000,988,67,21395000,13609000,112077,312,0.14
