state_id,classroom_condition,num_of_classrooms
1,total,138909
2,total,72957
3,total,177988
4,total,4054
5,total,94488
6,total,157391
7,total,79259
8,total,593656
9,total,1229467
10,total,458552
11,total,9153
12,total,21138
13,total,19355
14,total,26974
15,total,14435
16,total,25046
17,total,41475
18,total,214043
19,total,449598
20,total,251790
21,total,254482
22,total,192058
23,total,614752
24,total,325412
25,total,846
26,total,1819
27,total,516213
28,total,270159
29,total,363342
30,total,7241
31,total,392
32,total,168243
33,total,368636
34,total,6478
35,total,2755
1,good_condition,107434
2,good_condition,56703
3,good_condition,165806
4,good_condition,3886
5,good_condition,69678
6,good_condition,142072
7,good_condition,72966
8,good_condition,511111
9,good_condition,1034505
10,good_condition,366375
11,good_condition,6212
12,good_condition,13057
13,good_condition,14538
14,good_condition,15159
15,good_condition,7794
16,good_condition,16073
17,good_condition,22334
18,good_condition,113770
19,good_condition,322901
20,good_condition,222124
21,good_condition,174177
22,good_condition,149790
23,good_condition,509956
24,good_condition,281006
25,good_condition,807
26,good_condition,1626
27,good_condition,455370
28,good_condition,225601
29,good_condition,293530
30,good_condition,6587
31,good_condition,339
32,good_condition,140966
33,good_condition,332294
34,good_condition,6300
35,good_condition,2025
1,need_minor_repair,22091
2,need_minor_repair,9726
3,need_minor_repair,7624
4,need_minor_repair,149
5,need_minor_repair,12159
6,need_minor_repair,8444
7,need_minor_repair,4378
8,need_minor_repair,52712
9,need_minor_repair,143900
10,need_minor_repair,48836
11,need_minor_repair,1808
12,need_minor_repair,4863
13,need_minor_repair,3284
14,need_minor_repair,6024
15,need_minor_repair,3897
16,need_minor_repair,4964
17,need_minor_repair,11439
18,need_minor_repair,36927
19,need_minor_repair,55646
20,need_minor_repair,13954
21,need_minor_repair,38083
22,need_minor_repair,24094
23,need_minor_repair,69433
24,need_minor_repair,18014
25,need_minor_repair,28
26,need_minor_repair,180
27,need_minor_repair,31741
28,need_minor_repair,25793
29,need_minor_repair,36258
30,need_minor_repair,499
31,need_minor_repair,35
32,need_minor_repair,19685
33,need_minor_repair,20707
34,need_minor_repair,102
35,need_minor_repair,474
1,need_major_repair,9424
2,need_major_repair,6555
3,need_major_repair,4629
4,need_major_repair,19
5,need_major_repair,12840
6,need_major_repair,6888
7,need_major_repair,1968
8,need_major_repair,29939
9,need_major_repair,51124
10,need_major_repair,44004
11,need_major_repair,1155
12,need_major_repair,3222
13,need_major_repair,1568
14,need_major_repair,5800
15,need_major_repair,2744
16,need_major_repair,4010
17,need_major_repair,7706
18,need_major_repair,63346
19,need_major_repair,71443
20,need_major_repair,15781
21,need_major_repair,42395
22,need_major_repair,18532
23,need_major_repair,35484
24,need_major_repair,26406
25,need_major_repair,11
26,need_major_repair,13
27,need_major_repair,29307
28,need_major_repair,18761
29,need_major_repair,33624
30,need_major_repair,155
31,need_major_repair,18
32,need_major_repair,7669
33,need_major_repair,15635
34,need_major_repair,76
35,need_major_repair,256
1,other_rooms,15961
2,other_rooms,17255
3,other_rooms,29738
4,other_rooms,1026
5,other_rooms,17570
6,other_rooms,63129
7,other_rooms,51558
8,other_rooms,149183
9,other_rooms,131631
10,other_rooms,29289
11,other_rooms,1531
12,other_rooms,3161
13,other_rooms,3672
14,other_rooms,6342
15,other_rooms,3151
16,other_rooms,4475
17,other_rooms,5423
18,other_rooms,20992
19,other_rooms,122775
20,other_rooms,46757
21,other_rooms,37374
22,other_rooms,34963
23,other_rooms,63684
24,other_rooms,48170
25,other_rooms,339
26,other_rooms,718
27,other_rooms,169677
28,other_rooms,32724
29,other_rooms,51320
30,other_rooms,3297
31,other_rooms,207
32,other_rooms,49927
33,other_rooms,96787
34,other_rooms,2535
35,other_rooms,1684
