,state_id,state_name,area_type,age_group,education_level,male,female,total
0,0,INDIA,Total,All ages,Total,623270258,587584719,1210854977
1,0,INDIA,Total,0-6,Total,85752254,78762999,164515253
2,0,INDIA,Total,7,Total,12903364,11923276,24826640
3,0,INDIA,Total,8,Total,14061937,12906436,26968373
4,0,INDIA,Total,9,Total,12214985,11209653,23424638
5,0,INDIA,Total,10,Total,16089436,14462671,30552107
6,0,INDIA,Total,11,Total,12962604,11778342,24740946
7,0,INDIA,Total,12,Total,14637892,13239415,27877307
8,0,INDIA,Total,13,Total,12563775,11716908,24280683
9,0,INDIA,Total,14,Total,13165128,12093041,25258169
10,0,INDIA,Total,15,Total,13739746,12159708,25899454
11,0,INDIA,Total,16,Total,13027935,11564358,24592293
12,0,INDIA,Total,17,Total,11349449,9868018,21217467
13,0,INDIA,Total,18,Total,15020851,12937296,27958147
14,0,INDIA,Total,19,Total,10844415,10014673,20859088
15,0,INDIA,Total,20-24,Total,57584693,53839529,111424222
16,0,INDIA,Total,25-29,Total,51344208,50069757,101413965
17,0,INDIA,Total,30-34,Total,44660674,43934277,88594951
18,0,INDIA,Total,35-39,Total,42919381,42221303,85140684
19,0,INDIA,Total,40-44,Total,37545386,34892726,72438112
20,0,INDIA,Total,45-49,Total,32138114,30180213,62318327
21,0,INDIA,Total,50-54,Total,25843266,23225988,49069254
22,0,INDIA,Total,55-59,Total,19456012,19690043,39146055
23,0,INDIA,Total,60-64,Total,18701749,18961958,37663707
24,0,INDIA,Total,65-69,Total,12944326,13510657,26454983
25,0,INDIA,Total,70-74,Total,9651499,9557343,19208842
26,0,INDIA,Total,75-79,Total,4490603,4741900,9232503
27,0,INDIA,Total,80+,Total,5283695,6005310,11289005
28,0,INDIA,Total,Age not stated,Total,2372881,2116921,4489802
29,0,INDIA,Rural,All ages,Total,427781058,405967794,833748852
30,0,INDIA,Rural,0-6,Total,63084449,58238416,121322865
31,0,INDIA,Rural,7,Total,9399767,8750077,18149844
32,0,INDIA,Rural,8,Total,10497018,9709963,20206981
33,0,INDIA,Rural,9,Total,8880402,8234180,17114582
34,0,INDIA,Rural,10,Total,11899758,10788008,22687766
35,0,INDIA,Rural,11,Total,9319598,8531715,17851313
36,0,INDIA,Rural,12,Total,10781450,9807869,20589319
37,0,INDIA,Rural,13,Total,9024384,8465789,17490173
38,0,INDIA,Rural,14,Total,9462968,8722955,18185923
39,0,INDIA,Rural,15,Total,9873668,8719978,18593646
40,0,INDIA,Rural,16,Total,9253785,8180014,17433799
41,0,INDIA,Rural,17,Total,7754277,6694496,14448773
42,0,INDIA,Rural,18,Total,10518623,9040991,19559614
43,0,INDIA,Rural,19,Total,7170204,6696436,13866640
44,0,INDIA,Rural,20-24,Total,38138662,35696384,73835046
45,0,INDIA,Rural,25-29,Total,33375989,32692281,66068270
46,0,INDIA,Rural,30-34,Total,28934192,28977587,57911779
47,0,INDIA,Rural,35-39,Total,28125561,27937146,56062707
48,0,INDIA,Rural,40-44,Total,24565235,23015773,47581008
49,0,INDIA,Rural,45-49,Total,20864270,19823958,40688228
50,0,INDIA,Rural,50-54,Total,16789547,15242241,32031788
51,0,INDIA,Rural,55-59,Total,12536529,13324985,25861514
52,0,INDIA,Rural,60-64,Total,12931592,13359653,26291245
53,0,INDIA,Rural,65-69,Total,9208311,9707959,18916270
54,0,INDIA,Rural,70-74,Total,6978179,6829421,13807600
55,0,INDIA,Rural,75-79,Total,3113424,3270293,6383717
56,0,INDIA,Rural,80+,Total,3765796,4129194,7894990
57,0,INDIA,Rural,Age not stated,Total,1533420,1380032,2913452
58,0,INDIA,Urban,All ages,Total,195489200,181616925,377106125
59,0,INDIA,Urban,0-6,Total,22667805,20524583,43192388
60,0,INDIA,Urban,7,Total,3503597,3173199,6676796
61,0,INDIA,Urban,8,Total,3564919,3196473,6761392
62,0,INDIA,Urban,9,Total,3334583,2975473,6310056
63,0,INDIA,Urban,10,Total,4189678,3674663,7864341
64,0,INDIA,Urban,11,Total,3643006,3246627,6889633
65,0,INDIA,Urban,12,Total,3856442,3431546,7287988
66,0,INDIA,Urban,13,Total,3539391,3251119,6790510
67,0,INDIA,Urban,14,Total,3702160,3370086,7072246
68,0,INDIA,Urban,15,Total,3866078,3439730,7305808
69,0,INDIA,Urban,16,Total,3774150,3384344,7158494
70,0,INDIA,Urban,17,Total,3595172,3173522,6768694
71,0,INDIA,Urban,18,Total,4502228,3896305,8398533
72,0,INDIA,Urban,19,Total,3674211,3318237,6992448
73,0,INDIA,Urban,20-24,Total,19446031,18143145,37589176
74,0,INDIA,Urban,25-29,Total,17968219,17377476,35345695
75,0,INDIA,Urban,30-34,Total,15726482,14956690,30683172
76,0,INDIA,Urban,35-39,Total,14793820,14284157,29077977
77,0,INDIA,Urban,40-44,Total,12980151,11876953,24857104
78,0,INDIA,Urban,45-49,Total,11273844,10356255,21630099
79,0,INDIA,Urban,50-54,Total,9053719,7983747,17037466
80,0,INDIA,Urban,55-59,Total,6919483,6365058,13284541
81,0,INDIA,Urban,60-64,Total,5770157,5602305,11372462
82,0,INDIA,Urban,65-69,Total,3736015,3802698,7538713
83,0,INDIA,Urban,70-74,Total,2673320,2727922,5401242
84,0,INDIA,Urban,75-79,Total,1377179,1471607,2848786
85,0,INDIA,Urban,80+,Total,1517899,1876116,3394015
86,0,INDIA,Urban,Age not stated,Total,839461,736889,1576350
87,1,State - JAMMU & KASHMIR,Total,All ages,Total,6640662,5900640,12541302
88,1,State - JAMMU & KASHMIR,Total,0-6,Total,1084355,934550,2018905
89,1,State - JAMMU & KASHMIR,Total,7,Total,142123,128415,270538
90,1,State - JAMMU & KASHMIR,Total,8,Total,150470,134844,285314
91,1,State - JAMMU & KASHMIR,Total,9,Total,133371,118729,252100
92,1,State - JAMMU & KASHMIR,Total,10,Total,166773,147510,314283
93,1,State - JAMMU & KASHMIR,Total,11,Total,149261,132788,282049
94,1,State - JAMMU & KASHMIR,Total,12,Total,152365,137433,289798
95,1,State - JAMMU & KASHMIR,Total,13,Total,136728,124351,261079
96,1,State - JAMMU & KASHMIR,Total,14,Total,139728,126916,266644
97,1,State - JAMMU & KASHMIR,Total,15,Total,140502,130490,270992
98,1,State - JAMMU & KASHMIR,Total,16,Total,136077,126964,263041
99,1,State - JAMMU & KASHMIR,Total,17,Total,115421,106198,221619
100,1,State - JAMMU & KASHMIR,Total,18,Total,141830,134386,276216
