,state_id,area_type,age_group,employment_status,male,female
0,0,Total,Total,employed,273209976,89355595
1,0,Total,5-9,employed,630875,477933
2,0,Total,10-14,employed,2033172,1211267
3,0,Total,15-19,employed,12721891,4981419
4,0,Total,20-24,employed,28977411,9686759
5,0,Total,25-29,employed,36901575,11764723
6,0,Total,30-34,employed,35600323,11552088
7,0,Total,35-39,employed,35372529,12131142
8,0,Total,40-49,employed,58397073,18898570
9,0,Total,50-59,employed,36456219,10983785
10,0,Total,60-69,employed,18216604,5623759
11,0,Total,70-79,employed,5560331,1357408
12,0,Total,80+,employed,1463786,387166
13,0,Total,Age not stated,employed,878187,299576
14,0,Total,15-59,employed,244427021,79998486
15,0,Total,60+,employed,25240721,7368333
16,0,Rural,Total,employed,178095330,67773091
17,0,Rural,5-9,employed,452342,355472
18,0,Rural,10-14,employed,1490267,970929
19,0,Rural,15-19,employed,9213257,4052275
20,0,Rural,20-24,employed,19459188,7511066
21,0,Rural,25-29,employed,23336334,8704025
22,0,Rural,30-34,employed,22207414,8567249
23,0,Rural,35-39,employed,22346701,8975053
24,0,Rural,40-49,employed,36838786,14015779
25,0,Rural,50-59,employed,23149486,8320702
26,0,Rural,60-69,employed,13647640,4662834
27,0,Rural,70-79,employed,4339618,1117044
28,0,Rural,80+,employed,1074898,299438
29,0,Rural,Age not stated,employed,539399,221225
30,0,Rural,15-59,employed,156551166,60146149
31,0,Rural,60+,employed,19062156,6079316
32,0,Urban,Total,employed,95114646,21582504
33,0,Urban,5-9,employed,178533,122461
34,0,Urban,10-14,employed,542905,240338
35,0,Urban,15-19,employed,3508634,929144
36,0,Urban,20-24,employed,9518223,2175693
37,0,Urban,25-29,employed,13565241,3060698
38,0,Urban,30-34,employed,13392909,2984839
39,0,Urban,35-39,employed,13025828,3156089
40,0,Urban,40-49,employed,21558287,4882791
41,0,Urban,50-59,employed,13306733,2663083
42,0,Urban,60-69,employed,4568964,960925
43,0,Urban,70-79,employed,1220713,240364
