,state_id,area_type,education_level,age_group,number_of_women,number_of_married_women,male_children,female_children,fertility_rate
0,0,Total,Total,All Ages,587584719,339621277,484056967,431034187,1.56
1,0,Total,Total,Less than 15,178092741,1812200,409134,368099,0.0
2,0,Total,Total,15-19,56544053,11229274,2756470,2480679,0.09
3,0,Total,Total,20-24,53839529,37474855,21561931,20024083,0.77
4,0,Total,Total,25-29,50069757,45672215,44420283,41207835,1.71
5,0,Total,Total,30-34,43934277,42494507,54734319,50661269,2.4
6,0,Total,Total,35-39,42221303,41450644,61659870,56315714,2.79
7,0,Total,Total,40-44,34892726,34387860,56237822,50236797,3.05
8,0,Total,Total,45-49,30180213,29817709,52039198,45536849,3.23
9,0,Total,Total,50-54,23225988,22939799,42219701,36295263,3.38
10,0,Total,Total,55-59,19690043,19470703,38082338,32571746,3.59
11,0,Total,Total,60-64,18961958,18655119,37713605,32557699,3.71
12,0,Total,Total,65-69,13510657,13238971,27892742,24154578,3.85
13,0,Total,Total,70-74,9557343,9407217,20105036,17529337,3.94
14,0,Total,Total,75-79,4741900,4665395,10348646,9006666,4.08
15,0,Total,Total,80+,6005310,5734942,12366185,10797534,3.86
16,0,Total,Illiterate,All Ages,258709529,158722208,283910513,251627391,2.07
17,0,Total,Illiterate,Less than 15,91890380,407473,174075,157024,0.0
18,0,Total,Illiterate,15-19,7822361,3085557,1119361,998522,0.27
19,0,Total,Illiterate,20-24,12212466,10728878,7581382,7096052,1.2
20,0,Total,Illiterate,25-29,15072101,14530739,17448254,16356310,2.24
21,0,Total,Illiterate,30-34,16298810,16002668,25061998,23488781,2.98
22,0,Total,Illiterate,35-39,18524159,18309609,32448628,29827890,3.36
23,0,Total,Illiterate,40-44,17151840,16981780,32526446,29074357,3.59
24,0,Total,Illiterate,45-49,16062247,15935942,31927439,27870549,3.72
25,0,Total,Illiterate,50-54,13021195,12917583,26712219,22927857,3.81
26,0,Total,Illiterate,55-59,11976353,11900403,25654298,21862897,3.97
27,0,Total,Illiterate,60-64,12964714,12859430,27658650,23819247,3.97
28,0,Total,Illiterate,65-69,9684474,9599251,21209544,18308784,4.08
29,0,Total,Illiterate,70-74,7198872,7130911,15790878,13725635,4.1
30,0,Total,Illiterate,75-79,3470507,3438420,7920692,6853039,4.26
31,0,Total,Illiterate,80+,4433955,4333799,9792010,8507163,4.13
32,0,Total,Literate,All Ages,328875190,180899069,200146454,179406796,1.15
33,0,Total,Literate,Less than 15,86202361,1404727,235059,211075,0.01
34,0,Total,Literate,15-19,48721692,8143717,1637109,1482157,0.06
