,state_id,area_type,age_group_of_head,marital_status,male,female
0,0,Total,All Ages,Total,216075643,32782638
1,0,Total,Less than 20,Total,1852687,773544
2,0,Total,20-29,Total,20621807,1485859
3,0,Total,30-39,Total,51766404,4268651
4,0,Total,40-49,Total,57138410,6819144
5,0,Total,50-59,Total,40943302,6732683
6,0,Total,60-69,Total,28096715,7408404
7,0,Total,70-79,Total,11555631,3853518
8,0,Total,80+,Total,3416523,1328997
9,0,Total,Age Not Stated,Total,684164,111838
10,0,Rural,All Ages,Total,146732133,21539501
11,0,Rural,Less than 20,Total,1317854,564303
12,0,Rural,20-29,Total,14752739,1045682
13,0,Rural,30-39,Total,35242744,2923850
14,0,Rural,40-49,Total,37967868,4405638
15,0,Rural,50-59,Total,26703627,4182110
16,0,Rural,60-69,Total,19673079,4926803
17,0,Rural,70-79,Total,8201474,2556931
18,0,Rural,80+,Total,2439135,864054
19,0,Rural,Age Not Stated,Total,433613,70130
20,0,Urban,All Ages,Total,69343510,11243137
21,0,Urban,Less than 20,Total,534833,209241
22,0,Urban,20-29,Total,5869068,440177
23,0,Urban,30-39,Total,16523660,1344801
24,0,Urban,40-49,Total,19170542,2413506
25,0,Urban,50-59,Total,14239675,2550573
26,0,Urban,60-69,Total,8423636,2481601
27,0,Urban,70-79,Total,3354157,1296587
28,0,Urban,80+,Total,977388,464943
29,0,Urban,Age Not Stated,Total,250551,41708
30,1,Total,All Ages,Total,1903952,203645
31,1,Total,Less than 20,Total,19465,9626
32,1,Total,20-29,Total,146817,14972
33,1,Total,30-39,Total,435773,29477
34,1,Total,40-49,Total,513091,35247
35,1,Total,50-59,Total,377247,35727
36,1,Total,60-69,Total,247490,38895
37,1,Total,70-79,Total,117720,26493
38,1,Total,80+,Total,45089,13012
39,1,Total,Age Not Stated,Total,1260,196
40,1,Rural,All Ages,Total,1405342,142959
41,1,Rural,Less than 20,Total,15326,7356
42,1,Rural,20-29,Total,122091,12364
43,1,Rural,30-39,Total,342483,23108
44,1,Rural,40-49,Total,370660,25009
45,1,Rural,50-59,Total,261319,23377
46,1,Rural,60-69,Total,173252,25370
47,1,Rural,70-79,Total,84742,17306
48,1,Rural,80+,Total,34554,8936
49,1,Rural,Age Not Stated,Total,915,133
50,1,Urban,All Ages,Total,498610,60686
51,1,Urban,Less than 20,Total,4139,2270
52,1,Urban,20-29,Total,24726,2608
53,1,Urban,30-39,Total,93290,6369
54,1,Urban,40-49,Total,142431,10238
55,1,Urban,50-59,Total,115928,12350
56,1,Urban,60-69,Total,74238,13525
57,1,Urban,70-79,Total,32978,9187
58,1,Urban,80+,Total,10535,4076
59,1,Urban,Age Not Stated,Total,345,63
60,2,Total,All Ages,Total,1174826,305317
61,2,Total,Less than 20,Total,5564,2739
62,2,Total,20-29,Total,60545,10754
63,2,Total,30-39,Total,231198,40782
64,2,Total,40-49,Total,310278,60683
65,2,Total,50-59,Total,262727,59563
66,2,Total,60-69,Total,176508,60924
67,2,Total,70-79,Total,88425,44913
68,2,Total,80+,Total,38468,24668
69,2,Total,Age Not Stated,Total,1113,291
