state_id,school_type,num_of_schools
1,total,28578
2,total,18024
3,total,28776
4,total,201
5,total,23660
6,total,22268
7,total,5751
8,total,107931
9,total,245919
10,total,80166
11,total,1279
12,total,4012
13,total,2799
14,total,4865
15,total,3072
16,total,4844
17,total,13277
18,total,65894
19,total,95723
20,total,47441
21,total,68978
22,total,50705
23,total,142587
24,total,44051
25,total,120
26,total,323
27,total,98213
28,total,60435
29,total,61739
30,total,1462
31,total,41
32,total,16458
33,total,57539
34,total,719
35,total,410
1,government,23329
2,government,15386
3,government,20488
4,government,115
5,government,17505
6,government,14598
7,government,2826
8,government,70664
9,government,161329
10,government,71411
11,government,870
12,government,3464
13,government,2092
14,government,3308
15,government,2277
16,government,4322
17,government,7764
18,government,50143
19,government,82737
20,government,40437
21,government,58476
22,government,44387
23,government,114465
24,government,33843
25,government,94
26,government,275
27,government,67294
28,government,44399
29,government,45556
30,government,886
31,government,41
32,government,4573
33,government,38200
34,government,421
35,government,340
1,private,5247
2,private,2637
3,private,7163
4,private,80
5,private,5787
6,private,6834
7,private,2925
8,private,34872
9,private,80385
10,private,3477
11,private,409
12,private,518
13,private,707
14,private,1432
15,private,791
16,private,335
17,private,5398
18,private,7839
19,private,9754
20,private,2586
21,private,8537
22,private,6100
23,private,26452
24,private,10205
25,private,26
26,private,44
27,private,30383
28,private,15515
29,private,16157
30,private,576
31,private,0
32,private,10225
33,private,19163
34,private,298
35,private,70
1,madarsas,2
2,madarsas,1
3,madarsas,1125
4,madarsas,6
5,madarsas,368
6,madarsas,836
7,madarsas,0
8,madarsas,2395
9,madarsas,4205
10,madarsas,5278
11,madarsas,0
12,madarsas,30
13,madarsas,0
14,madarsas,125
15,madarsas,4
16,madarsas,187
17,madarsas,115
18,madarsas,7912
19,madarsas,3232
20,madarsas,4418
21,madarsas,1965
22,madarsas,218
23,madarsas,1670
24,madarsas,3
25,madarsas,0
26,madarsas,4
27,madarsas,536
28,madarsas,521
29,madarsas,26
30,madarsas,0
31,madarsas,0
32,madarsas,1660
33,madarsas,176
34,madarsas,0
35,madarsas,0
1,rural,21829
2,rural,15014
3,rural,18005
4,rural,16
5,rural,16860
6,rural,13171
7,rural,145
8,rural,67154
9,rural,155108
10,rural,67441
11,rural,841
12,rural,3244
13,rural,1895
14,rural,2995
15,rural,1711
16,rural,4055
17,rural,7432
18,rural,47764
19,rural,73072
20,rural,38694
21,rural,55324
22,rural,41797
23,rural,107583
24,rural,30775
25,rural,72
26,rural,257
27,rural,61769
28,rural,40448
29,rural,40364
30,rural,765
31,rural,32
32,rural,3733
33,rural,32895
34,rural,238
35,rural,307
1,government_aided,23329
2,government_aided,15386
3,government_aided,20956
4,government_aided,122
5,government_aided,18044
6,government_aided,14825
7,government_aided,3082
8,government_aided,70664
9,government_aided,169373
10,government_aided,71632
11,government_aided,873
12,government_aided,3524
13,government_aided,2092
14,government_aided,3881
15,government_aided,2355
16,government_aided,4370
17,government_aided,11345
18,government_aided,54073
19,government_aided,82990
20,government_aided,41571
21,government_aided,63336
22,government_aided,44787
23,government_aided,115393
24,government_aided,34633
25,government_aided,98
26,government_aided,287
27,government_aided,85476
28,government_aided,46673
29,government_aided,48676
30,government_aided,1316
31,government_aided,41
32,government_aided,11435
33,government_aided,46593
34,government_aided,454
35,government_aided,342
1,private_rural,3776
2,private_rural,2258
3,private_rural,3831
4,private_rural,1
5,private_rural,4253
6,private_rural,4038
7,private_rural,83
8,private_rural,21886
9,private_rural,60214
10,private_rural,2108
11,private_rural,340
12,private_rural,337
13,private_rural,446
14,private_rural,1115
15,private_rural,480
16,private_rural,232
17,private_rural,4942
18,private_rural,6999
19,private_rural,7156
20,private_rural,1872
21,private_rural,7271
22,private_rural,3633
23,private_rural,13672
24,private_rural,4492
25,private_rural,11
26,private_rural,33
27,private_rural,16202
