state_id,state_name,villages,population,perc_to_total_population,males,females,sex_ratio,population_0_6,population_6_10,population_11_13,rural_population,urban_population,SC_population,ST_population,area_sqkm,density_per_sqkm,growth_rate,male_literacy_rate,female_literacy_rate,literacy_rate
1,JAMMU & KASHMIR,7263,12541302,1.04,6640662,5900640,889,16.01,1452682,865656,9134820,3414106,92805634.8,149241493.8,222236,56,0.24,78.26,58.01,67.16
2,HIMACHAL PRADESH,10120,6864602,0.57,3481873,3382729,972,11.14,588162,354221,6167805,688704,172987970.4,39128231.4,55673,123,0.13,90.83,76.6,82.8
3,PUNJAB,13197,27743338,2.29,14639465,13103873,895,10.62,2447062,1498066,17316800,10387436,885012482.1999999,0.0,50362,550,0.14,81.48,71.34,75.84
4,CHANDIGARH,84,1055450,0.09,580663,474787,818,11.18,114473,67721,29004,1025682,19948005.0,0.0,114,9252,0.17,90.54,81.38,86.05
5,UTTARAKHAND,11989,10086292,0.83,5137773,4948519,963,13.14,1123220,687598,7025583,3091169,189622289.6,29250246.8,53483,189,0.19,88.33,70.7,79.63
6,HARYANA,7438,25351462,2.09,13494734,11856728,879,13.01,2556187,1509213,16531493,8821588,512099532.4,0.0,44212,573,0.2,85.38,66.77,75.55
7,DELHI,1201,16787941,1.39,8887326,7800615,868,11.76,1704499,874236,944727,12905780,282037408.8,0.0,1484,11297,0.21,91.03,80.93,86.21
8,RAJASTHAN,41441,68548437,5.66,35550997,32997440,928,15.31,8238091,4451853,51540236,17080776,1220162178.6000001,925403899.5,342239,201,0.21,80.51,52.66,66.11
9,UTTAR PRADESH,98470,199812341,16.5,104480510,95331831,912,14.9,27421871,14858172,155111022,44470455,4136115458.7,119887404.6,240928,828,0.2,79.24,59.26,67.68
10,BIHAR,40779,104099452,8.6,54278157,49821295,918,17.9,15017838,6730614,92075028,11729609,1655181286.8,135329287.6,94163,1102,0.25,73.39,53.33,61.8
11,SIKKIM,756,610577,0.05,323070,287507,890,10.05,59113,29539,455962,151726,2808654.1999999997,20637502.599999998,7096,86,0.12,87.29,76.43,81.42
12,ARUNACHAL PRADESH,2982,1383727,0.11,713912,669815,938,14.66,174523,77791,1069165,313446,0.0,95200417.6,83743,17,0.26,73.69,59.57,65.38
13,NAGALAND,1478,1978502,0.16,1024649,953853,931,14.44,239278,109124,1406861,573741,0.0,171140423.0,16579,119,-0.01,83.29,76.69,79.55
14,MANIPUR,2422,2721756,0.21,1290171,1280219,992,12.98,263906,121088,1899624,822132,10342672.799999999,95533635.60000001,22327,122,0.19,86.49,73.17,79.21
15,MIZORAM,851,1097206,0.09,555339,541867,976,15.17,118153,51193,529037,561997,109720.6,103576246.4,21081,52,0.23,93.72,89.4,91.33
16,TRIPURA,1101,3673917,0.3,1874376,1799541,960,12.1,339817,158355,2710051,960981,65395722.6,116830560.60000001,10486,350,0.15,92.18,83.15,87.22
17,MEGHALAYA,6166,2966889,0.25,1491832,1475057,989,18.75,388745,167695,2368971,595036,1780133.4,255449142.89999998,22429,132,0.28,77.17,73.78,74.43
18,ASSAM,21833,31205576,2.58,15939443,15266133,958,14.47,3506540,1838910,26780526,4388756,224680147.20000002,386949142.40000004,78438,397,0.17,78.81,67.27,72.19
19,WEST BENGAL,41179,91276115,7.54,46809027,44467088,950,11.07,7843098,4549909,62213676,29134060,2144988702.5,529401467.0,88752,1030,0.14,82.67,71.16,76.26
20,JHARKHAND,27862,32988134,2.72,16930315,16057819,948,15.89,4077439,2013642,25036946,7929292,399156421.4,864289110.8,79714,414,0.22,78.45,56.21,66.41
21,ODISHA,39334,41974218,3.47,21212136,20762082,979,12.0,3963217,2351996,34951234,6996124,717759127.8000001,957012170.4,155707,269,0.14,82.4,64.36,72.87
22,CHHATTISGARH,21834,25545198,2.11,12832895,12712303,991,14.03,2792441,1626381,19603658,5936538,326978534.40000004,781683058.8000001,135191,189,0.23,81.45,60.59,70.28
23,MADHYA PRADESH,54762,72626809,6.0,37612306,35014503,931,14.53,8585339,4989418,52537899,20059666,1132978220.3999999,1532425669.9,308245,236,0.2,80.53,60.02,69.32
24,GUJARAT,19877,60439692,4.99,31491260,28948432,919,12.41,5808398,3596398,34670817,25712811,404945936.40000004,894507441.6,196024,308,0.19,87.23,70.73,78.03
25,DAMAN & DIU,39,243247,0.02,150301,92946,618,10.65,22119,12424,60331,182580,608117.5,1532456.0999999999,112,2169,0.54,91.48,79.59,87.1
26,DADRA & NAGAR HAVELI,70,343709,0.03,193760,149949,774,14.35,43860,25043,183024,159829,618676.2000000001,17872868.0,491,698,0.56,86.46,65.93,76.24
27,MAHARASHTRA,43661,112374333,9.28,58243056,54131277,929,11.43,10258679,6063279,61545441,50827531,1326017129.4,1056318730.2,307713,365,0.16,89.82,75.48,82.34
28,ANDHRA PRADESH,15075,84580777,6.99,42442146,42138631,993,10.21,4198314,2538445,56361702,28219075,1387124742.8,592065439.0,275045,308,0.11,75.56,59.74,67.02
29,KARNATAKA,29449,61095297,5.05,30966657,30128640,973,11.21,5249682,3142541,37552529,23578175,1044729578.7,427667079.0,191791,319,0.16,82.85,68.13,75.36
30,GOA,530,1458545,0.12,739140,719405,973,9.57,120687,73445,551414,906309,2479526.5,14877158.999999998,3702,394,0.08,92.81,81.84,88.7
31,LAKSHADWEEP,10,64473,0.01,33123,31350,946,11.0,5973,3805,14121,50308,0.0,6112040.399999999,32,2013,0.06,96.11,88.25,91.85
32,KERALA,1907,33406061,2.76,16027412,17378649,"1,084",9.95,2586473,1618453,17445506,15932171,303995155.09999996,50109091.5,38863,859,0.05,96.02,91.98,94.0
